tconst	directors	writers
tt4589186	nm1086956,nm0218022	nm0218022,nm1086956
tt4589516	nm0949714	nm0949714
tt4589628	nm7243877	nm7243877,nm5854857
tt4590092	nm3803909	nm3803909,nm7249124
tt4590390	nm3679382	nm3679382
tt4590482	nm7249446	nm7249448,nm7249446
tt4591226	nm2113026	nm3211624
tt4591310	nm1110912	nm3220563,nm7814595,nm1063158
tt4591732	nm5662493	nm5662493
tt4591840	nm0255710	nm6270680,nm7274931,nm0255710,nm0746598
tt4592042	nm2364318	nm2364318
tt4593108	nm0558094	nm0558094
tt4593196	nm2056034,nm1982697	nm1760880
tt4593236	nm1671969	nm1671969,nm5898042
tt4594050	nm2807963	\N
tt4594124	nm7253229	nm7253229
tt4594286	nm3283149	nm5702253
tt4594834	nm0000490	nm0932551,nm0000490,nm0034922
tt4594836	nm0621993	nm1460101,nm1676231
tt4594906	nm0343903	nm0343903
tt4594936	nm5960057,nm7253728,nm6260229,nm7253727	nm5960057,nm6260229,nm7253728,nm7253727
tt4595882	nm1716636	nm0392237,nm1036221
tt4596052	nm1851437	nm1851437,nm1670272
tt4596248	nm8014290	nm0138759
tt4596408	nm7652356	nm10956747,nm7652356,nm1602570
tt4596784	nm5027478,nm1505934	nm0352270,nm1650324
tt4596814	nm1894520	nm1894520
tt4597454	nm5824384	\N
tt4597598	nm1723190	nm2779222,nm1723190,nm2025901,nm4485092,nm2077038
tt4598848	nm5614356	nm7267104,nm5614356
tt4599584	nm1665906	nm1665906
tt4600312	nm2989742	nm2989742
tt4600558	nm2088171	nm9889762,nm1375739
tt4600778	nm1910832	nm7259024,nm2119186
tt4600952	nm3550361	nm6947132,nm3550361,nm4272197
tt4601064	nm3087956	nm5301137,nm2651240
tt4601102	nm0099398	nm0099398,nm0078704
tt4601292	nm0244011	nm0244011,nm0374035
tt4601504	nm0122044	nm0122044
tt4602066	nm0506802	nm0734441,nm7260546
tt4602074	nm4743982	nm4743982
tt4602342	nm2854856	nm2854856
tt4602554	nm2980031	nm5353212,nm5050393
tt4602818	nm0411200	nm0411200
tt4602914	nm0069260	nm0069260,nm7261341
tt4603080	nm0890367	nm0764282
tt4603150	nm3570526	nm5222703,nm2920896,nm3737068,nm3570526
tt4603210	nm2636610,nm2902565	nm2636610,nm2902565
tt4603640	nm2243359	nm2243359,nm9967615
tt4604496	nm2432996	nm3338354,nm2432996
